Date,Open,High,Low,Close,Adj Close,Volume
2020-10-12,11732.33008,11965.54004,11704.12988,11876.25977,11876.25977,3862990000
2020-10-13,11901.75977,11946.98047,11821.83008,11863.90039,11863.90039,3607730000
2020-10-14,11889.07031,11939.91992,11714.34961,11768.73047,11768.73047,3393010000
2020-10-15,11559.87988,11740.67969,11559.09961,11713.87012,11713.87012,3304490000
2020-10-16,11761.83008,11827.41992,11648.53027,11671.55957,11671.55957,3156270000
2020-10-19,11732.33984,11778.11035,11454.57031,11478.87988,11478.87988,3455430000
2020-10-20,11531.83008,11632.88965,11471.23047,11516.49023,11516.49023,3483200000
2020-10-21,11530.38965,11613.79004,11476.08008,11484.69043,11484.69043,3445520000
2020-10-22,11526.96973,11548.76953,11369.29004,11506.00977,11506.00977,3414590000
2020-10-23,11536.00977,11548.84961,11434.86035,11548.28027,11548.28027,3134240000
2020-10-26,11440.63965,11545.62988,11221.05957,11358.94043,11358.94043,3186950000
2020-10-27,11409.33984,11465.05957,11361.86035,11431.34961,11431.34961,3079530000
2020-10-28,11230.90039,11249.9502,10999.07031,11004.87012,11004.87012,3912580000
2020-10-29,11064.46973,11287.62988,11030.19043,11185.58984,11185.58984,3222460000
2020-10-30,11103.46973,11129.80957,10822.57031,10911.58984,10911.58984,3662840000
2020-11-02,11010.4502,11071.08008,10830.9502,10957.61035,10957.61035,3196720000
2020-11-03,11038.66016,11213.91992,11004.83984,11160.57031,11160.57031,3190710000
2020-11-04,11443.76953,11663.30957,11394.20996,11590.78027,11590.78027,3606820000
2020-11-05,11816.33008,11924.28027,11784.15039,11890.92969,11890.92969,3823380000
2020-11-06,11869.90039,11920.54004,11737.12988,11895.23047,11895.23047,4156030000
2020-11-09,12046.66016,12108.07031,11703.49023,11713.78027,11713.78027,5823620000
2020-11-10,11622.44043,11665.87012,11424.61035,11553.86035,11553.86035,4712950000
2020-11-11,11656.65039,11793.57031,11638.90039,11786.42969,11786.42969,3823270000
2020-11-12,11802.5,11847.83984,11666.37012,11709.58984,11709.58984,3862690000
2020-11-13,11794.94043,11849.79004,11715.51953,11829.29004,11829.29004,3640680000
2020-11-16,11847.11035,11937.71973,11814.88965,11924.12988,11924.12988,4138920000
2020-11-17,11913.34961,11950.17969,11852.41016,11899.33984,11899.33984,4122770000
2020-11-18,11896.05957,11942.49023,11799.95996,11801.59961,11801.59961,4699160000
2020-11-19,11779.04004,11912.62988,11760.98047,11904.70996,11904.70996,5322580000
2020-11-20,11892.7002,11935.46973,11852.50977,11854.96973,11854.96973,5319340000
2020-11-23,11916.75977,11949.33008,11796.53027,11880.62988,11880.62988,5360830000
2020-11-24,11939.33008,12049.87988,11863.4502,12036.79004,12036.79004,6277790000
2020-11-25,12053.88965,12114.76953,12020.9502,12094.40039,12094.40039,4425030000
2020-11-27,12159.17969,12236.23047,12154.57031,12205.84961,12205.84961,3401890000
2020-11-30,12224.25,12244.65039,12027.16016,12198.74023,12198.74023,7693430000
2020-12-01,12313.36035,12405.79004,12263.92969,12355.11035,12355.11035,6467180000
2020-12-02,12285.75,12360.05957,12217.34961,12349.37012,12349.37012,5150820000
2020-12-03,12369.25977,12439.01953,12356.99023,12377.17969,12377.17969,5182100000
2020-12-04,12399.32031,12464.23047,12376.44043,12464.23047,12464.23047,5044210000
2020-12-07,12461,12536.23047,12460.54981,12519.9502,12519.9502,4741690000
2020-12-08,12503.16992,12594.54004,12453.20996,12582.76953,12582.76953,4758170000
2020-12-09,12591.69043,12607.13965,12290.78027,12338.9502,12338.9502,5131720000
2020-12-10,12247.54981,12431.55957,12214.74023,12405.80957,12405.80957,4470060000
2020-12-11,12336.79004,12383.5,12246.76953,12377.87012,12377.87012,4268140000
2020-12-14,12447.44043,12543,12432.70996,12440.04004,12440.04004,4458140000
2020-12-15,12543.25977,12596.12988,12465.41992,12595.05957,12595.05957,4377950000
2020-12-16,12611.04004,12687.32031,12566.37988,12658.19043,12658.19043,4561600000
2020-12-17,12730.78027,12765.25,12696.34961,12764.75,12764.75,4994090000
2020-12-18,12804.92969,12809.59961,12654.59961,12755.63965,12755.63965,7088670000
2020-12-21,12596.13965,12751.26953,12525.21973,12742.51953,12742.51953,5156470000
2020-12-22,12785.21973,12840.57031,12695.30957,12807.91992,12807.91992,5700760000
2020-12-23,12834.94043,12841.91992,12758.66992,12771.11035,12771.11035,7028650000
2020-12-24,12791.54004,12833.54981,12767.63965,12804.73047,12804.73047,3305950000
2020-12-28,12914.63965,12930.88965,12827.4502,12899.41992,12899.41992,5076340000
2020-12-29,12965.38965,12973.33008,12821.95996,12850.21973,12850.21973,4680780000
2020-12-30,12906.50977,12924.92969,12857.75977,12870,12870,5292210000
2020-12-31,12877.08984,12902.07031,12821.23047,12888.28027,12888.28027,4771390000
2021-01-04,12958.51953,12958.71973,12543.24023,12698.4502,12698.4502,6546740000
2021-01-05,12665.65039,12828.26953,12665.65039,12818.95996,12818.95996,6904420000
2021-01-06,12666.15039,12909.62988,12649.99023,12740.79004,12740.79004,7648340000
2021-01-07,12867.33984,13090.91016,12867.33984,13067.48047,13067.48047,6777010000
2021-01-08,13160.21973,13208.08984,13036.54981,13201.98047,13201.98047,7223660000
2021-01-11,13048.78027,13138.26953,12999.50977,13036.42969,13036.42969,6876420000
2021-01-12,13062.05957,13105.04004,12963.91992,13072.42969,13072.42969,7181380000
2021-01-13,13088.00977,13171.15039,13051.05957,13128.9502,13128.9502,7072920000
2021-01-14,13174.75,13220.16016,13098.41016,13112.63965,13112.63965,6671090000
2021-01-15,13099.90039,13139.83008,12949.75977,12998.5,12998.5,6402970000
2021-01-19,13132.73047,13206.86035,13078.7002,13197.17969,13197.17969,6229100000
2021-01-20,13342.54981,13486.12988,13329.76953,13457.25,13457.25,6771630000
2021-01-21,13521.48047,13560.34961,13454.07031,13530.91016,13530.91016,7183390000
2021-01-22,13474.80957,13567.13965,13463.66016,13543.05957,13543.05957,5931240000
2021-01-25,13681.20996,13728.98047,13368.67969,13635.99023,13635.99023,7139410000
2021-01-26,13681.71973,13702.69043,13603.19043,13626.05957,13626.05957,6781460000
2021-01-27,13486.58008,13538.41992,13192.91016,13270.59961,13270.59961,11102160000
2021-01-28,13323.29004,13507.63965,13316.51953,13337.16016,13337.16016,9823150000
2021-01-29,13284.71973,13322,12985.04981,13070.69043,13070.69043,7809670000
2021-02-01,13226.17969,13431.45996,13132.46973,13403.38965,13403.38965,7014220000
2021-02-02,13543.09961,13652.7002,13535.86035,13612.78027,13612.78027,7240220000
2021-02-03,13718.30957,13723.83008,13585.33984,13610.54004,13610.54004,7465240000
2021-02-04,13674.05957,13778.41992,13631.62012,13777.74023,13777.74023,7218680000
2021-02-05,13824.87988,13878.16016,13761.66016,13856.29981,13856.29981,6697720000
